url;pelmorex_id;name;province;coords
https://www.eltiempo.es/pezobres.html;ESXX11502;PezobrÃ©s;A Coruña;(42.866420250000004, -8.051279490741972)
https://www.eltiempo.es/mamoas.html;ESXX13593;MÃ¡moas;A Coruña;(43.5803426, -7.7940293)
https://www.eltiempo.es/rego.html;ESXX11674;Rego;A Coruña;(43.2781704, -8.3700855)
https://www.eltiempo.es/solleiros.html;ESXX12064;Solleiros;A Coruña;(42.7949964, -8.9856399)
https://www.eltiempo.es/queiroso.html;ESXX11617;Queiroso;A Coruña;(43.0284811, -9.2651017)
https://www.eltiempo.es/noia.html;ESXX21271;Noia;A Coruña;(42.7850763, -8.8877375)
https://www.eltiempo.es/a-coruna/rus.html;ESXX11778;Rus;A Coruña;(43.138005500000006, -8.634821158727473)
https://www.eltiempo.es/tordoya.html;ESXX12170;Tordoya;A Coruña;(42.9100433, -8.528341399999999)
https://www.eltiempo.es/abeleiras.html;ESXX9365;Abeleiras;A Coruña;(43.0504054, -8.0941516)
https://www.eltiempo.es/queiruga.html;ESXX21153;Queiruga;A Coruña;(42.6743049, -9.0178635)
https://www.eltiempo.es/carres.html;ESXX9987;Carres;A Coruña;(43.1869219, -8.2420593)
https://www.eltiempo.es/a-capela.html;ESXX7928;A Capela;A Coruña;(43.442067699999996, -8.044033466191095)
https://www.eltiempo.es/branas-verdes.html;ESXX9819;BraÃ±as Verdes;A Coruña;(43.1756296, -9.1389688)
https://www.eltiempo.es/bergondo.html;ESXX7949;Bergondo;A Coruña;(43.3117553, -8.2463208)
https://www.eltiempo.es/adrano.html;ESXX9391;AdraÃ±o;A Coruña;(42.8799213, -9.0703314)
https://www.eltiempo.es/brano.html;ESXX9825;BraÃ±o;A Coruña;(43.1455509, -9.0940742)
https://www.eltiempo.es/reyes.html;ESXX11706;Reyes;A Coruña;(43.3573501, -8.4139223)
https://www.eltiempo.es/roalo.html;ESXX11744;Roalo;A Coruña;(43.0696149, -9.0456383)
https://www.eltiempo.es/bemantes.html;ESXX9731;Bemantes;A Coruña;(43.338353, -8.1725395)
https://www.eltiempo.es/loira.html;ESXX11000;Loira;A Coruña;(43.6028489, -8.09079)
https://www.eltiempo.es/cuno.html;ESXX21181;CuÃ±o;A Coruña;(43.0717043, -9.2436443)
